Type de logement,Zonage (Classification),Façade (en pieds),Superficie du lot (pieds²),Type de route,Forme du lot,Topographie du terrain,Services publics disponibles,Configuration du lot,Inclinaison du terrain,Quartier,Proximité (1ère condition),Proximité (2e condition),Type de bâtiment,Style de maison,Qualité globale,État général,Style de toit,Matériau du toit,Revêtement extérieur (1),Revêtement extérieur (2),Type de parement en maçonnerie,Surface de parement (pieds²),Qualité extérieure,État extérieur,Type de fondation,Qualité du sous-sol,État général du sous-sol,Exposition du sous-sol,Type de finition sous-sol (1),Surface non finie sous-sol,Type de chauffage,Qualité du chauffage,Climatisation centrale,Système électrique,Surface finie basse qualité (pieds²),Chambres (hors sous-sol),Cuisines (hors sous-sol),Qualité de la cuisine,Total des pièces (hors sous-sol),Fonctionnalité globale,Nombre de cheminées,Qualité de la cheminée,Type de garage,Finition intérieure du garage,Capacité du garage (voitures),Qualité du garage,Allée pavée,Surface de la piscine (pieds²),Valeur des caractéristiques supplémentaires,Mois de vente,Type de vente,Condition de la vente,Prix de vente,Âge de la maison,Rénovation de la maison,Surface totale (pieds²),Surface totale,Total des salles de bain,Surface totale des porches (pieds²)
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,73.0,8899,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0.0,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,1316,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,3,1,Bon,6,Typ,0,Pas de cheminée,Attaché à la maison,Aménagé,2,Moyen,Pavé,0,0,Août,Maison neuve construite et vendue,Maison incomplète,12.106997888588934,0,0,1364,2680,2.0,130
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,74.0,7844,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Bon,Pente,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,203.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,463,Chauffage à gaz,Moyen,Oui,Disjoncteurs,0,3,1,Moyen,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Aménagé,2,Moyen,Pavé,0,0,Mars,Acte de garantie - Conventionnel,Vente normale,11.915058360753719,28,28,1609,2072,1.5,0
2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel basse densité,86.0,22420,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Crawford,Proche d'une route secondaire,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Au-dessus de la moyenne,Pente,Bardeau composite standard,Revêtement en bois,Stuc,Aucune,0.0,Moyen,Moyen,BrkTil,Bon,Moyen,Aucune exposition,Partiellement fini,242,Chauffage à gaz (chaudière),Moyen,Non,Fusibles anciens,0,4,1,Moyen,10,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,Non aménagé,3,Moyen,Gravier/Terre,0,0,Novembre,Acte de garantie - Conventionnel,Vente normale,12.384223015005313,89,57,3752,3994,3.5,0
1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,60.0,8160,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Moyenne,Au-dessus de la moyenne,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0.0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Fini - Moyenne,444,Chauffage à gaz,Médiocre,Non,Fusibles,0,3,1,Moyen,7,Typ,0,Pas de cheminée,Détaché de la maison,Non aménagé,1,Moyen,Pavement partiel,0,0,Avril,Acte de garantie - Conventionnel,Achat terrain adjoint,11.744045122410057,67,57,1446,1890,2.5,0
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,65.0,8450,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Partiellement fini,281,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,3,1,Moyen,6,Typ,1,Médiocre - Préfabriquée au sous-sol,Attaché à la maison,Non aménagé,1,Moyen,Pavé,0,0,Juillet,Acte de garantie - Conventionnel,Vente normale,11.863589378812122,42,42,1831,2112,2.0,269
DUPLEX - TOUS STYLES ET ÂGES,Résidentiel densité moyenne,78.0,7060,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Mitchell,Normale,Normale,Duplex,Foyer divisé,Bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,200.0,Moyen,Bon,PConc,Bon,Bon,Bonne exposition,Fini - Excellent,35,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,2,2,Moyen,8,Typ,0,Pas de cheminée,Attaché à la maison,Aménagé,4,Moyen,Pavé,0,0,Novembre,Acte de garantie - Conventionnel,Allocation (propriétés liées),12.237091546357338,11,10,2653,2688,4.0,0
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,0.0,16635,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Northwest Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Bon,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Pierre,126.0,Bon,Moyen,CBlock,Bon,Moyen,Aucune exposition,Fini - Moyenne,356,Chauffage à gaz,Bon,Oui,Disjoncteurs,0,3,1,Bon,8,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Aménagé,2,Moyen,Pavé,0,0,Juin,Acte de garantie - Conventionnel,Vente normale,12.278397958261774,32,9,2848,3204,2.5,240
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,100.0,21750,Pavé,Régulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Mitchell,Proche d'une artère principale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,Pente,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,988,Chauffage à gaz,Excellent,Oui,Fusibles anciens,0,2,1,Moyen,4,Typ,0,Pas de cheminée,Attaché à la maison,Partiellement aménagé,2,Moyen,Gravier/Terre,0,0,Février,Acte de garantie - Conventionnel,Vente normale,11.635151947212842,54,54,988,1976,1.0,0
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,80.0,9200,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,473.0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,484,Chauffage à gaz,Bon,Oui,Disjoncteurs,0,4,1,Bon,8,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Aménagé,3,Moyen,Pavé,0,0,Juin,Acte de garantie - Conventionnel,Vente normale,12.660331092405906,10,10,3616,4100,3.5,66
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,72.0,9000,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Briques en façade,74.0,Moyen,Moyen,CBlock,Bon,Moyen,Aucune exposition,Fini - Qualité inférieure,580,Chauffage à gaz,Bon,Oui,Fusibles anciens,0,2,1,Moyen,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,Partiellement aménagé,1,Moyen,Pavé,0,0,Mai,Acte de garantie - Conventionnel,Vente normale,11.842236406331555,52,52,1812,2392,2.0,44
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel densité moyenne,60.0,3378,Pavé,Régulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Normale,Normale,Maison individuelle,Deux étages,Bon,Très bon,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0.0,Moyen,Bon,CBlock,Moyen,Moyen,Aucune exposition,Non fini,651,Chauffage à gaz,Bon,Oui,Disjoncteurs,0,3,1,Moyen,6,Typ,2,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,Non aménagé,1,Moyen,Pavement partiel,0,0,Septembre,Acte de garantie - Conventionnel,Vente normale,11.813037464800539,63,17,1389,2040,1.5,126
NIVEAUX MULTIPLES OU PARTIELS,Résidentiel basse densité,0.0,12800,Pavé,Régulier,Dépression,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Sawyer Ouest,Normale,Normale,Maison individuelle,Niveaux divisés,Bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Briques en façade,145.0,Bon,Moyen,PConc,Bon,Moyen,Bonne exposition,Fini - Excellent,0,Chauffage à gaz,Bon,Oui,Disjoncteurs,0,2,1,Bon,5,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Aménagé,2,Moyen,Pavé,0,0,Août,Acte de garantie - Conventionnel,Vente normale,12.524530013005734,20,20,3162,3162,3.5,476
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,77.0,8593,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,Au-dessus de la moyenne,Pente,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,619,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,3,1,Moyen,5,Typ,0,Pas de cheminée,Détaché de la maison,Non aménagé,1,Moyen,Pavé,0,0,Juillet,Acte de garantie - Conventionnel,Vente normale,11.599185726610004,51,51,1195,1814,1.0,0
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,64.0,6762,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,108.0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,544,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,2,1,Bon,6,Typ,0,Pas de cheminée,Attaché à la maison,Partiellement aménagé,2,Moyen,Pavé,0,0,Septembre,Maison neuve construite et vendue,Maison incomplète,12.182809136284991,0,0,1872,2416,3.0,159
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,130.0,11457,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Timberland,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0.0,Moyen,Moyen,CBlock,Bon,Moyen,Exposition moyenne,Fini - Excellent,387,Chauffage à gaz,Moyen,Oui,Disjoncteurs,0,3,1,Bon,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Non aménagé,2,Moyen,Pavé,0,0,Mars,Acte de garantie - Conventionnel,Vente normale,12.07254696717504,21,21,2417,2804,3.0,169
2 ÉTAGES PUD - 1946 ET PLUS RÉCENT,Résidentiel densité moyenne,21.0,1680,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Briardale,Normale,Normale,Maison de ville (intérieur),Deux étages,Au-dessus de la moyenne,Moyenne,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,232.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,96,Chauffage à gaz,Moyen,Oui,Disjoncteurs,0,2,1,Moyen,4,Typ,0,Pas de cheminée,Détaché de la maison,Non aménagé,1,Moyen,Pavé,0,0,Juillet,Acte de l'officier judiciaire/Etat,Vente anormale,11.355113089309977,37,37,1374,1470,1.5,0
1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,60.0,5586,Pavé,Légèrement irrégulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Proche d'une route secondaire,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Bon,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0.0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,901,Chauffage à gaz,Bon,Oui,Disjoncteurs,0,4,1,Moyen,7,Typ,0,Pas de cheminée,Pas de garage,Pas de garage,0,Non applicable,Gravier/Terre,0,0,Septembre,Contrat - Acompte faible,Vente anormale,11.288543647320601,88,10,1198,2099,1.0,98
2 ÉTAGES PUD - 1946 ET PLUS RÉCENT,Résidentiel densité moyenne,24.0,1920,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Briardale,Normale,Normale,Maison de ville (bout),Deux étages,Moyenne,Moyenne,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,376.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,294,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,2,1,Moyen,6,Min1,0,Pas de cheminée,Détaché de la maison,Non aménagé,2,Moyen,Pavé,0,0,Août,Acte de garantie - Conventionnel,Vente normale,11.715874472198905,36,36,1836,2130,2.5,276
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,100.0,10839,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0.0,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,926,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,3,1,Moyen,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Aménagé,2,Moyen,Pavé,0,0,Juillet,Acte de garantie - Conventionnel,Vente normale,12.10625783509458,11,10,1604,2530,2.5,36
PUD MULTI-NIVEAUX - INCLUT NIVEAUX DIVISÉS,Résidentiel densité moyenne,21.0,1890,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Meadow Village,Normale,Normale,Maison de ville (intérieur),Foyer divisé,En dessous de la moyenne,Bon,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Aucune,0.0,Moyen,Bon,CBlock,Bon,Moyen,Exposition au niveau moyen,Fini - Moyenne,135,Chauffage à gaz,Bon,Oui,Disjoncteurs,0,1,1,Moyen,3,Typ,0,Pas de cheminée,Pas de garage,Pas de garage,0,Non applicable,Pavé,0,0,Juin,Acte de garantie - Conventionnel,Vente normale,11.302216779257382,36,36,1125,1260,2.0,88
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,43.0,10667,Pavé,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,College Creek,Proche d'un espace vert ou parc,Normale,Maison individuelle,Deux étages,Bon,Au-dessus de la moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0.0,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,70,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,3,1,Bon,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Partiellement aménagé,2,Moyen,Pavé,0,0,Avril,Contrat - Acompte faible et faible taux d'intérêt,Vente normale,12.264346270624157,13,13,2390,2460,3.5,219
1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,40.0,4400,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Très bon,Pignon,Bardeau composite standard,Stuc,Stuc,Aucune,0.0,Moyen,Moyen,BrkTil,Médiocre,Moyen,Aucune exposition,Non fini,648,Chauffage à gaz,Moyen,Oui,Fusibles anciens,0,2,1,Moyen,6,Typ,0,Pas de cheminée,Détaché de la maison,Non aménagé,2,Moyen,Pavé,0,0,Octobre,Acte de garantie - Conventionnel,Vente normale,11.661354090741,86,56,1118,1766,1.0,0
1 ÉTAGE ET DEMI - NON AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,50.0,6000,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Brookside,Normale,Normale,Maison individuelle,"Un étage et demi, non aménagé",Au-dessus de la moyenne,Bon,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0.0,Bon,Moyen,PConc,Moyen,Moyen,Aucune exposition,Non fini,884,Chauffage à gaz,Bon,Oui,Disjoncteurs,0,2,1,Moyen,4,Typ,0,Pas de cheminée,Détaché de la maison,Non aménagé,1,Moyen,Pavé,0,0,Janvier,Acte de garantie - Conventionnel,Vente normale,11.686887175419702,83,5,904,1788,1.0,105
1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel basse densité,40.0,4280,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Crawford,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,Pignon,Bardeau composite standard,Bardeaux en bois,Stuc,Aucune,0.0,Moyen,Moyen,PConc,Moyen,Moyen,Aucune exposition,Fini - Qualité inférieure,75,Chauffage à gaz,Moyen,Non,Disjoncteurs,0,2,1,Bon,4,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,Non aménagé,1,Bon,Pavement partiel,0,0,Mars,Acte de garantie - Conventionnel,Vente normale,11.411457364027745,94,5,1059,1134,1.0,34
1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,67.0,12354,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Edwards,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Très bon,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0.0,Moyen,Moyen,BrkTil,Moyen,Médiocre,Exposition moyenne,Non fini,684,Chauffage à gaz,Bon,Oui,Disjoncteurs,0,3,1,Bon,7,Typ,0,Pas de cheminée,Détaché de la maison,Non aménagé,2,Moyen,Pavé,0,800,Août,Contrat - Faible taux d'intérêt,Vente normale,11.608244735642321,89,9,1196,1880,1.0,46
DUPLEX - TOUS STYLES ET ÂGES,Résidentiel basse densité,92.0,12108,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Normale,Normale,Duplex,Un étage,En dessous de la moyenne,En dessous de la moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,270.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,1307,Chauffage à gaz,Moyen,Non,Fusibles,0,4,2,Médiocre,8,Typ,0,Pas de cheminée,Pas de garage,Pas de garage,0,Non applicable,Pavé,0,0,Septembre,Acte de garantie - Conventionnel,Vente normale,11.678448377988165,53,53,1573,2880,2.0,0
1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,52.0,6240,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Brookside,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Moyenne,Bon,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0.0,Moyen,Moyen,PConc,Moyen,Moyen,Aucune exposition,Non fini,1078,Chauffage à gaz,Moyen,Oui,Disjoncteurs,0,3,1,Moyen,8,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,Non aménagé,2,Moyen,Pavement partiel,0,0,Juin,Acte de garantie - Conventionnel,Vente normale,12.000897933306716,78,16,1573,2651,2.0,0
1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel basse densité,53.0,3922,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Bloomington Heights,Normale,Normale,Maison de ville (bout),Un étage,Bon,Moyenne,Pignon,Bardeau composite standard,Bardeaux en bois,Bardeaux en bois,Briques en façade,72.0,Bon,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Non fini,1258,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,2,1,Bon,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,Aménagé,3,Moyen,Pavé,0,0,Juin,Maison neuve construite et vendue,Maison incomplète,12.058158312538197,1,0,1258,2516,2.0,160
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,70.0,8750,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0.0,Bon,Bon,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,273,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,4,1,Bon,8,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Non aménagé,2,Moyen,Pavé,0,0,Juillet,Acte de garantie - Conventionnel,Vente normale,12.25486757159303,14,13,2550,2823,3.5,277
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,73.0,9855,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Edwards,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,Pente,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,1436,Chauffage à gaz,Médiocre,Oui,Disjoncteurs,0,3,1,Moyen,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,Non aménagé,2,Moyen,Pavé,0,0,Novembre,Acte de l'officier judiciaire/Etat,Vente normale,11.755879486687116,53,53,1689,3125,1.0,0
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,137.0,16492,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,North Ames,Adjacente à un espace vert ou parc,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Au-dessus de la moyenne,Pignon,Bardeau composite standard,Brique apparente,Contreplaqué,Aucune,0.0,Bon,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,557,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,2,1,Bon,6,Mod,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,Aménagé,2,Moyen,Pavé,0,0,Juin,Acte de garantie - Conventionnel,Vente normale,12.154784614286667,44,8,2848,3405,2.5,0
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,0.0,11214,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0.0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,930,Chauffage à gaz,Bon,Oui,Disjoncteurs,0,4,1,Bon,10,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Aménagé,2,Moyen,Pavé,0,0,Juillet,Acte de garantie - Conventionnel,Vente normale,12.20557752297723,8,7,1886,2816,2.5,89
1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,50.0,8600,Pavé,Régulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Iowa DOT et chemin de fer,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Au-dessus de la moyenne,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0.0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,780,Chauffage à gaz,Moyen,Oui,Disjoncteurs,0,3,1,Moyen,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,Non aménagé,1,Moyen,Gravier/Terre,0,0,Juin,Acte de garantie - Conventionnel,Vente normale,11.691080018519527,69,56,1376,2156,2.0,0
1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,50.0,6000,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Médiocre,Bon,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0.0,Moyen,Bon,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,318,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,2,1,Moyen,6,Typ,0,Pas de cheminée,Détaché de la maison,Non aménagé,1,Moyen,Pavé,0,0,Juin,Acte de garantie - Conventionnel,Vente normale,11.695255355062795,59,5,1514,1832,1.5,176
